apoptotic process,GO:0006915
histone H3K36 trimethyltransferase activity,GO:0140955
histone H4K20 trimethyltransferase activity,GO:0140943
L-threonylcarbamoyladenylate synthase,GO:0061710
phospholipid transfer activity,GO:0120014
histone H2AK119 ubiquitin ligase activity,GO:0140862
mitochondrial ATP-gated potassium channel activity,GO:0062156
calcium:manganese antiporter activity,GO:0140983
histone kinase activity,GO:0035173
N-acyltransferase activity,GO:0016410
histone H3K27me2/H3K27me3 demethylase activity,GO:0071558
biotin transmembrane transporter activity,GO:0015225
iodide transmembrane transporter activity,GO:0015111
monocarboxylate:sodium symporter activity,GO:0140161
pantothenate transmembrane transporter activity,GO:0015233
pantothenate:sodium symporter activity,GO:0015498
sodium-dependent multivitamin transmembrane transporter activity,GO:0008523
vitamin transmembrane transporter activity,GO:0090482
protein-cysteine S-myristoyltransferase activity,GO:0019705
protein-cysteine S-stearoyltransferase activity,GO:0140439
zinc:proton antiporter activity,GO:0140826
death domain binding,GO:0070513
adenylylsulfate kinase activity,GO:0004020
nucleotidyltransferase activity,GO:0016779
sulfate adenylyltransferase (ATP) activity,GO:0004781
histone H3T45 kinase activity,GO:0140857
nuclease activity,GO:0004518
single-stranded DNA endodeoxyribonuclease activity,GO:0000014
structural constituent of synapse-associated extracellular matrix,GO:0150043
glucagon receptor activity,GO:0004967
high-affinity phosphate:sodium symporter activity,GO:0005316
sodium:phosphate symporter activity,GO:0005436
dopamine binding,GO:0035240
dopamine neurotransmitter receptor activity,GO:0004952
"dopamine neurotransmitter receptor activity, coupled via Gs",GO:0001588
G protein-coupled receptor activity involved in regulation of postsynaptic membrane potential,GO:0099530
GABA receptor activity,GO:0016917
sepiapterin reductase (NADP+) activity,GO:0004757
COPII receptor activity,GO:0097020
calcium-dependent ATPase activity,GO:0030899
cysteine-type endopeptidase activator activity involved in apoptotic process,GO:0008656
NAD(P)H dehydrogenase (quinone) activity,GO:0003955
NADH:ubiquinone reductase (non-electrogenic) activity,GO:0050136
NADPH dehydrogenase (quinone) activity,GO:0008753
transforming growth factor beta binding,GO:0050431
transforming growth factor beta receptor activity,GO:0005024
phosphoribosylamine-glycine ligase activity,GO:0004637
phosphoribosylformylglycinamidine cyclo-ligase activity,GO:0004641
phosphoribosylglycinamide formyltransferase activity,GO:0004644
GTPase activating protein binding,GO:0032794
ATPase-coupled intramembrane lipid transporter activity,GO:0140326
exon-exon junction complex binding,GO:1990448
ligand-gated sodium channel activity,GO:0015280
monoatomic ion-gated channel activity,GO:0022839
"histone deacetylase activity, hydrolytic mechanism",GO:0141221
5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase activity,GO:0140933
cobalt ion binding,GO:0050897
dIDP phosphatase activity,GO:0097383
dITP diphosphatase activity,GO:0035870
IDP phosphatase activity,GO:1990003
metalloexopeptidase activity,GO:0008235
RNA NAD+-cap (NAD+-forming) hydrolase activity,GO:0110152
alkylglycerol kinase activity,GO:0047649
guanylyltransferase activity,GO:0070568
"hydrolase activity, hydrolyzing O-glycosyl compounds",GO:0004553
mycophenolic acid acyl-glucuronide esterase activity,GO:0102390
structural constituent of nuclear pore,GO:0017056
protein N-terminal-methionine acetyltransferase activity,GO:0120518
protein-lysine-acetyltransferase activity,GO:0061733
protein-N-terminal amino-acid acetyltransferase activity,GO:0004596
D2 dopamine receptor binding,GO:0031749
FAD-dependent H3K4me/H3K4me3 demethylase activity,GO:0140682
histone demethylase activity,GO:0032452
histone H3K9 demethylase activity,GO:0032454
histone H3K9me2/H3K9me3 demethylase activity,GO:0140684
"endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters",GO:0016894
RISC complex binding,GO:1905172
glycine-gated chloride ion channel activity,GO:0022852
activin receptor antagonist activity,GO:0038102
inhibin binding,GO:0034711
tumor necrosis factor receptor superfamily binding,GO:0032813
TFIIF-class transcription factor complex binding,GO:0001096
palmitoyltransferase activity,GO:0016409
P-type manganese transporter activity,GO:0140613
secondary active sulfate transmembrane transporter activity,GO:0008271
protein binding involved in heterotypic cell-cell adhesion,GO:0086080
pyruvate dehydrogenase (acetyl-transferring) kinase activity,GO:0004740
apyrase activity,GO:0004050
nucleoside diphosphate phosphatase activity,GO:0017110
ribonucleoside triphosphate phosphatase activity,GO:0017111
15-oxoprostaglandin 13-oxidase [NAD(P)+] activity,GO:0047522
mRNA CDS binding,GO:1990715
threonine-tRNA ligase activity,GO:0004829
G protein-coupled estrogen receptor activity,GO:0038054
nuclear estrogen receptor activity,GO:0030284
dipeptide transmembrane transporter activity,GO:0071916
peptidoglycan transmembrane transporter activity,GO:0015647
bis(5'-adenosyl)-triphosphatase activity,GO:0047710
sterol ester esterase activity,GO:0004771
ADP-ribose diphosphatase activity,GO:0047631
monoamine oxidase activity,GO:0097621
primary methylamine oxidase activity,GO:0008131
acetyl-CoA C-acetyltransferase activity,GO:0003985
acetyl-CoA hydrolase activity,GO:0003986
EGF-domain serine glucosyltransferase activity,GO:0140561
EGF-domain serine xylosyltransferase activity,GO:0140562
UDP-glucosyltransferase activity,GO:0035251
UDP-xylosyltransferase activity,GO:0035252
sphingolipid binding,GO:0046625
"inositol-1,3,4,5-tetrakisphosphate 6-kinase activity",GO:0000825
"inositol-1,3,4-trisphosphate 5-kinase activity",GO:0052726
"inositol-1,3,4-trisphosphate 6-kinase activity",GO:0052725
"inositol-3,4,5,6-tetrakisphosphate 1-kinase activity",GO:0047325
"inositol-3,4,6-trisphosphate 1-kinase activity",GO:0052835
histone H2AS1 kinase activity,GO:0044024
histone H3S10 kinase activity,GO:0035175
histone H3S28 kinase activity,GO:0044022
bicarbonate binding,GO:0071890
carbamoyl-phosphate synthase (ammonia) activity,GO:0004087
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,GO:0004088
mRNA m(6)A methyltransferase activity,GO:0001734
"2',3'-cyclic GMP-AMP synthase activity",GO:0061501
nucleosome binding,GO:0031491
poly-ADP-D-ribose modification-dependent protein binding,GO:0160004
FAT10 activating enzyme activity,GO:0019780
alpha-aminoacyl-tRNA binding,GO:1904678
orexigenic neuropeptide QRFP receptor binding,GO:0031854
riboflavin kinase activity,GO:0008531
interleukin-17 receptor activity,GO:0030368
formyltetrahydrofolate dehydrogenase activity,GO:0016155
CCA tRNA nucleotidyltransferase activity,GO:0004810
CCACCA tRNA nucleotidyltransferase activity,GO:0160016
phospholipase A1 activity,GO:0008970
geranylgeranyl diphosphate synthase activity,GO:0004311
protein farnesyltransferase activity,GO:0004660
"L-lysine N-acetyltransferase activity, acting on acetyl phosphate as donor",GO:0004468
tubulin N-acetyltransferase activity,GO:0019799
NAD(P)HX epimerase activity,GO:0052856
xylosylprotein 4-beta-galactosyltransferase activity,GO:0046525
thiol oxidase activity,GO:0016972
urea transmembrane transporter activity,GO:0015204
creatine:sodium symporter activity,GO:0005309
UFM1 activating enzyme activity,GO:0071566
beta-adrenergic receptor kinase activity,GO:0047696
G protein-coupled receptor kinase activity,GO:0004703
poly(C) RNA binding,GO:0017130
RNA polymerase II C-terminal domain binding,GO:0099122
TFIIH-class transcription factor complex binding,GO:0001097
interleukin-17E receptor binding,GO:0030380
fucosyltransferase activity,GO:0008417
peptide-O-fucosyltransferase activity,GO:0046922
2'-5'-oligoadenylate synthetase activity,GO:0001730
ammonium channel activity,GO:0008519
potassium:chloride symporter activity,GO:0015379
G protein-coupled peptide receptor activity,GO:0008528
neuropeptide receptor activity,GO:0008188
calcium-dependent cysteine-type endopeptidase activity,GO:0004198
UFM1-modified protein reader activity,GO:0141185
quinone binding,GO:0048038
ABC-type sterol transporter activity,GO:0034041
carbon monoxide binding,GO:0070025
cystathionine beta-synthase activity,GO:0004122
nitric oxide binding,GO:0070026
nitrite reductase (NO-forming) activity,GO:0050421
L-xylulose reductase (NADPH) activity,GO:0050038
"oxidoreductase activity, acting on CH-OH group of donors",GO:0016614
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",GO:0016655
sphingosine-1-phosphate receptor activity,GO:0038036
GTPase-dependent fusogenic activity,GO:0140523
protein serine pyrophosphorylase activity,GO:0141090
UDP-N-acetylgalactosamine diphosphorylase activity,GO:0052630
UDP-N-acetylglucosamine diphosphorylase activity,GO:0003977
bile acid transmembrane transporter activity,GO:0015125
organic anion transmembrane transporter activity,GO:0008514
"(2E,6E)-farnesyl diphosphate synthase activity",GO:0004337
dimethylallyltranstransferase activity,GO:0004161
"MHC class Ib protein binding, via antigen binding groove",GO:0023030
formate-tetrahydrofolate ligase activity,GO:0004329
methenyltetrahydrofolate cyclohydrolase activity,GO:0004477
methylenetetrahydrofolate dehydrogenase (NAD+) activity,GO:0004487
methylenetetrahydrofolate dehydrogenase (NADP+) activity,GO:0004488
molecular sensor activity,GO:0140299
biliverdin reductase [NAD(P)+] activity,GO:0004074
FMN reductase (NADH) activity,GO:0052874
FMN reductase (NADPH) activity,GO:0052873
peptidyl-cysteine S-nitrosylase activity,GO:0035605
riboflavin reductase (NADPH) activity,GO:0042602
RNA ligase (GTP) activity,GO:0170057
vinculin binding,GO:0017166
L-serine-phosphatidylcholine phosphatidyltransferase activity,GO:0106258
L-serine-phosphatidylethanolamine phosphatidyltransferase activity,GO:0106245
methylcrotonoyl-CoA carboxylase activity,GO:0004485
protein tyrosine kinase inhibitor activity,GO:0030292
protein tyrosine/serine/threonine phosphatase activity,GO:0008138
cytidine transmembrane transporter activity,GO:0015212
guanine transmembrane transporter activity,GO:0015208
monoamine transmembrane transporter activity,GO:0008504
neurotransmitter transmembrane transporter activity,GO:0005326
nucleobase transmembrane transporter activity,GO:0015205
nucleoside transmembrane transporter activity,GO:0005337
organic cation transmembrane transporter activity,GO:0015101
uracil transmembrane transporter activity,GO:0015210
uridine transmembrane transporter activity,GO:0015213
"calcium, potassium:sodium antiporter activity",GO:0008273
RNA polymerase II general transcription initiation factor binding,GO:0001091
U5 snRNA binding,GO:0030623
lactoylglutathione lyase activity,GO:0004462
ligase regulator activity,GO:0055103
IMP cyclohydrolase activity,GO:0003937
phosphoribosylaminoimidazolecarboxamide formyltransferase activity,GO:0004643
cyanocobalamin reductase (cyanide-eliminating) (NADP+) activity,GO:0033787
demethylase activity,GO:0032451
glycine hydroxymethyltransferase activity,GO:0004372
L-allo-threonine aldolase activity,GO:0008732
arginine binding,GO:0034618
arginine-tRNA ligase activity,GO:0004814
caspase binding,GO:0089720
death effector domain binding,GO:0035877
cytoskeleton-nuclear membrane anchor activity,GO:0140444
L-methionine:thioredoxin-disulfide S-oxidoreductase activity,GO:0033744
peptide-methionine (S)-S-oxide reductase activity,GO:0008113
ADP-D-ribose modification-dependent protein binding,GO:0160002
poly-ADP-D-ribose binding,GO:0072572
prostaglandin F synthase activity,GO:0047017
dephospho-CoA kinase activity,GO:0004140
pantetheine-phosphate adenylyltransferase activity,GO:0004595
monooxygenase activity,GO:0004497
protein serine/threonine kinase binding,GO:0120283
chondroitin 6-sulfotransferase activity,GO:0008459
X11-like protein binding,GO:0042988
ceramide binding,GO:0097001
ceramide transfer activity,GO:0120017
box H/ACA snoRNA binding,GO:0034513
pseudouridine synthase activity,GO:0009982
GATOR1 complex binding,GO:0106080
histone H4R3 methyltransferase activity,GO:0044020
methyl-CpG binding,GO:0008327
mitogen-activated protein kinase p38 binding,GO:0048273
N-methyltransferase activity,GO:0008170
protein-arginine N-methyltransferase activity,GO:0016274
protein-arginine omega-N asymmetric methyltransferase activity,GO:0035242
protein-arginine omega-N monomethyltransferase activity,GO:0035241
voltage-gated sodium channel activity involved in SA node cell action potential,GO:0086063
D-glucose:sodium symporter activity,GO:0005412
guanylate kinase activity,GO:0004385
pyrimidine nucleotide binding,GO:0019103
"alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity",GO:0001665
alpha-sialidase activity,GO:0016997
exo-alpha-sialidase activity,GO:0004308
"3-sulfino-L-alanine: proton, glutamate antiporter activity",GO:0000514
"aspartate:glutamate, proton antiporter activity",GO:0000515
prosaposin receptor activity,GO:0036505
"interleukin-1, type I receptor binding",GO:0005150
Toll-like receptor binding,GO:0035325
ADP-D-ribose binding,GO:0072570
double-stranded methylated DNA binding,GO:0010385
rDNA binding,GO:0000182
smoothened binding,GO:0005119
carbohydrate derivative transmembrane transporter activity,GO:1901505
heme transmembrane transporter activity,GO:0015232
macromolecule transmembrane transporter activity,GO:0022884
purine nucleotide transmembrane transporter activity,GO:0015216
histone H4K20 demethylase activity,GO:0035575
deoxyadenylate kinase activity,GO:0047506
nucleoside triphosphate adenylate kinase activity,GO:0046899
histone H3 acetyltransferase activity,GO:0010484
"alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3-N-acetyl-galactosaminide 6-alpha-sialyltransferase activity",GO:0047290
extracellular matrix protein binding,GO:1990430
G protein-coupled GABA receptor activity,GO:0004965
bicarbonate transmembrane transporter activity,GO:0015106
chloride transmembrane transporter activity,GO:0015108
angiotensin type II receptor activity,GO:0004945
cholesterol 24-hydroxylase activity,GO:0033781
steroid hydroxylase activity,GO:0008395
testosterone 16-beta-hydroxylase activity,GO:0062184
testosterone 6-beta-hydroxylase activity,GO:0050649
methylthioribulose 1-phosphate dehydratase activity,GO:0046570
protein carrier chaperone,GO:0140597
P-type potassium:proton transporter activity,GO:0008900
thyroxine 5'-deiodinase activity,GO:0004800
histone H2AXY142 kinase activity,GO:0140801
arginyl-tRNA--protein transferase activity,GO:0004057
serine binding,GO:0070905
histone H3K14 acetyltransferase activity,GO:0036408
histone H4K12 acetyltransferase activity,GO:0043997
histone H4K5 acetyltransferase activity,GO:0043995
histone H4K8 acetyltransferase activity,GO:0043996
acetyltransferase activator activity,GO:0010698
adenylate cyclase inhibitor activity,GO:0010855
histone butyryltransferase activity,GO:0140069
histone crotonyltransferase activity,GO:0140068
histone H2B acetyltransferase activity,GO:0044013
histone H3K122 acetyltransferase activity,GO:0140908
histone H3K18 acetyltransferase activity,GO:0043993
histone H3K27 acetyltransferase activity,GO:0044017
histone lactyltransferase (CoA-dependent) activity,GO:0120301
